Company,Price,Change,% Change,P/E,Volume,YTDchange,Symbol,url
Sherwin-Williams Co,331.88,-0.16,-0.05%,26.4,509.0K,+23.49%,SHW,http://money.cnn.com/quote/quote.html?symb=SHW
Signet Jewelers Ltd,56.54,0.89,+1.60%,9.1,1.5M,-40.02%,SIG,http://money.cnn.com/quote/quote.html?symb=SIG
Simon Property Group Inc,157.89,-3.26,-2.02%,28.1,1.8M,-11.13%,SPG,http://money.cnn.com/quote/quote.html?symb=SPG
Skyworks Solutions Inc,103.18,1.58,+1.56%,19.8,1.1M,+38.20%,SWKS,http://money.cnn.com/quote/quote.html?symb=SWKS
SL Green Realty Corp,99.0,-1.03,-1.03%,2475.0,941.9K,-7.95%,SLG,http://money.cnn.com/quote/quote.html?symb=SLG
Snap-On Inc,152.46,-0.31,-0.20%,15.8,603.1K,-10.98%,SNA,http://money.cnn.com/quote/quote.html?symb=SNA
Southern Co,48.42,-0.39,-0.80%,76.9,3.2M,-1.57%,SO,http://money.cnn.com/quote/quote.html?symb=SO
Southwest Airlines,54.14,0.13,+0.24%,16.5,4.2M,+8.63%,LUV,http://money.cnn.com/quote/quote.html?symb=LUV
Stanley Black & Decker Inc,139.15,0.85,+0.61%,17.8,903.8K,+21.33%,SWK,http://money.cnn.com/quote/quote.html?symb=SWK
Staples Inc,10.14,-0.03,-0.29%,NM,19.4M,+12.04%,SPLS,http://money.cnn.com/quote/quote.html?symb=SPLS
Starbucks,53.18,0.11,+0.21%,26.9,9.2M,-4.21%,SBUX,http://money.cnn.com/quote/quote.html?symb=SBUX
State Street,92.08,-0.42,-0.45%,17.0,2.3M,+18.48%,STT,http://money.cnn.com/quote/quote.html?symb=STT
Stericycle Inc,71.03,-0.41,-0.57%,37.0,1.3M,-7.80%,SRCL,http://money.cnn.com/quote/quote.html?symb=SRCL
Stryker Corp,144.18,0.27,+0.19%,32.2,847.6K,+20.34%,SYK,http://money.cnn.com/quote/quote.html?symb=SYK
SunTrust Banks Inc,55.99,-0.43,-0.76%,14.9,3.4M,+2.08%,STI,http://money.cnn.com/quote/quote.html?symb=STI
Symantec Corp,28.29,0.45,+1.62%,NM,8.4M,+18.42%,SYMC,http://money.cnn.com/quote/quote.html?symb=SYMC
Synchrony Financial,29.2,-0.12,-0.41%,11.0,6.7M,-19.49%,SYF,http://money.cnn.com/quote/quote.html?symb=SYF
Synopsys Inc,76.27,0.62,+0.82%,42.6,592.0K,+29.58%,SNPS,http://money.cnn.com/quote/quote.html?symb=SNPS
Sysco Corp,51.58,0.71,+1.40%,27.1,3.8M,-6.84%,SYY,http://money.cnn.com/quote/quote.html?symb=SYY
T. Rowe Price Group Inc,82.79,-0.06,-0.07%,14.2,1.1M,+10.01%,TROW,http://money.cnn.com/quote/quote.html?symb=TROW
Target,55.65,0.01,+0.02%,11.6,6.0M,-22.95%,TGT,http://money.cnn.com/quote/quote.html?symb=TGT
TE Connectivity,78.66,-0.13,-0.16%,--,1.1M,+13.54%,TEL,http://money.cnn.com/quote/quote.html?symb=TEL
Amazon,967.99,11.07,+1.16%,246.3,3.5M,+29.09%,AMZN,http://money.cnn.com/quote/quote.html?symb=AMZN
Ameren Corp,57.95,-0.59,-1.01%,20.3,1.1M,+10.47%,AEE,http://money.cnn.com/quote/quote.html?symb=AEE
American Airlines,48.35,-0.2,-0.41%,11.9,5.6M,+3.56%,AAL,http://money.cnn.com/quote/quote.html?symb=AAL
American Electric Power Company Inc,70.56,-0.8,-1.12%,60.8,2.0M,+12.07%,AEP,http://money.cnn.com/quote/quote.html?symb=AEP
American Express,84.29,-0.27,-0.32%,17.2,3.1M,+13.78%,AXP,http://money.cnn.com/quote/quote.html?symb=AXP
American Tower,136.68,-0.15,-0.11%,54.7,870.8K,+29.33%,AMT,http://money.cnn.com/quote/quote.html?symb=AMT
American Water Works Company Inc,80.72,-0.64,-0.79%,30.5,497.2K,+11.55%,AWK,http://money.cnn.com/quote/quote.html?symb=AWK
Ameriprise Financial Inc,143.36,-0.43,-0.30%,16.4,1.0M,+29.22%,AMP,http://money.cnn.com/quote/quote.html?symb=AMP
AmerisourceBergen Corp,80.02,1.14,+1.45%,20.8,2.2M,+2.34%,ABC,http://money.cnn.com/quote/quote.html?symb=ABC
Ametek Inc,62.58,-0.16,-0.26%,27.4,711.9K,+28.77%,AME,http://money.cnn.com/quote/quote.html?symb=AME
Amgen,169.43,0.32,+0.19%,15.4,1.6M,+15.88%,AMGN,http://money.cnn.com/quote/quote.html?symb=AMGN
Amphenol Corp,77.97,0.2,+0.26%,26.3,1.1M,+16.03%,APH,http://money.cnn.com/quote/quote.html?symb=APH
Anadarko Petroleum Corp,43.54,-0.16,-0.37%,NM,3.8M,-37.56%,APC,http://money.cnn.com/quote/quote.html?symb=APC
Analog Devices Inc,78.04,1.21,+1.57%,29.7,1.9M,+7.46%,ADI,http://money.cnn.com/quote/quote.html?symb=ADI
Andeavor,94.42,0.59,+0.63%,15.8,1.3M,+7.97%,ANDV,http://money.cnn.com/quote/quote.html?symb=ANDV
TechnipFMC PLC,26.42,-0.45,-1.67%,NM,2.1M,--,FTI,http://money.cnn.com/quote/quote.html?symb=FTI
Texas Instruments,80.89,0.53,+0.66%,20.2,3.4M,+10.85%,TXN,http://money.cnn.com/quote/quote.html?symb=TXN
Textron Inc,48.48,0.24,+0.50%,17.2,966.0K,-0.16%,TXT,http://money.cnn.com/quote/quote.html?symb=TXT
Thermo Fisher Scientific Inc,173.23,1.49,+0.87%,30.1,2.2M,+22.77%,TMO,http://money.cnn.com/quote/quote.html?symb=TMO
Tiffany & Co,90.29,0.95,+1.06%,25.1,910.8K,+16.61%,TIF,http://money.cnn.com/quote/quote.html?symb=TIF
Time Warner,101.9,-0.04,-0.04%,18.8,2.3M,+5.56%,TWX,http://money.cnn.com/quote/quote.html?symb=TWX
TJX Companies Inc,71.07,0.81,+1.15%,20.2,4.9M,-5.40%,TJX,http://money.cnn.com/quote/quote.html?symb=TJX
Torchmark Corp,78.16,-0.29,-0.37%,17.5,358.7K,+5.97%,TMK,http://money.cnn.com/quote/quote.html?symb=TMK
Total System Services Inc,63.06,-0.37,-0.58%,30.8,945.2K,+28.62%,TSS,http://money.cnn.com/quote/quote.html?symb=TSS
Tractor Supply Co,53.49,0.3,+0.56%,16.6,1.6M,-29.44%,TSCO,http://money.cnn.com/quote/quote.html?symb=TSCO
TransDigm Group Inc,274.36,0.98,+0.36%,31.1,193.6K,+10.20%,TDG,http://money.cnn.com/quote/quote.html?symb=TDG
Travelers Companies Inc,128.18,-1.51,-1.16%,12.8,1.5M,+4.71%,TRV,http://money.cnn.com/quote/quote.html?symb=TRV
TripAdvisor Inc,42.18,2.47,+6.22%,59.4,5.5M,-9.04%,TRIP,http://money.cnn.com/quote/quote.html?symb=TRIP
Twenty-First Century Fox,28.21,0.33,+1.18%,17.2,6.8M,+0.61%,FOXA,http://money.cnn.com/quote/quote.html?symb=FOXA
Twenty-First Century Fox,27.84,0.37,+1.35%,17.0,1.7M,+2.17%,FOX,http://money.cnn.com/quote/quote.html?symb=FOX
Tyco,38.67,-0.22,-0.57%,NM,2.9M,-6.12%,JCI,http://money.cnn.com/quote/quote.html?symb=JCI
Tyson Foods Inc,65.55,0.68,+1.05%,13.8,2.8M,+6.27%,TSN,http://money.cnn.com/quote/quote.html?symb=TSN
U.S. Bancorp,52.05,-0.33,-0.63%,15.7,4.4M,+1.32%,USB,http://money.cnn.com/quote/quote.html?symb=USB
UDR Inc,38.47,-0.33,-0.85%,33.8,721.3K,+5.46%,UDR,http://money.cnn.com/quote/quote.html?symb=UDR
Ulta Beauty Inc,251.05,4.18,+1.69%,35.3,385.9K,-1.53%,ULTA,http://money.cnn.com/quote/quote.html?symb=ULTA
Under Armour,18.55,-0.16,-0.86%,46.4,2.4M,-36.14%,UAA,http://money.cnn.com/quote/quote.html?symb=UAA
Under Armour,16.8,-0.02,-0.12%,42.0,2.0M,-33.25%,UA,http://money.cnn.com/quote/quote.html?symb=UA
Union Pacific,103.57,0.88,+0.86%,18.8,3.3M,-0.11%,UNP,http://money.cnn.com/quote/quote.html?symb=UNP
United Continental Holdings,65.87,0.63,+0.97%,9.2,3.5M,-9.62%,UAL,http://money.cnn.com/quote/quote.html?symb=UAL
United Rentals Inc,111.54,-0.08,-0.07%,16.3,982.7K,+5.65%,URI,http://money.cnn.com/quote/quote.html?symb=URI
United Technologies,116.89,0.13,+0.11%,17.9,2.1M,+6.63%,UTX,http://money.cnn.com/quote/quote.html?symb=UTX
UnitedHealth,193.02,0.45,+0.23%,23.2,2.2M,+20.61%,UNH,http://money.cnn.com/quote/quote.html?symb=UNH
Universal Health Services Inc,107.59,2.22,+2.11%,14.6,852.2K,+1.14%,UHS,http://money.cnn.com/quote/quote.html?symb=UHS
Unum Group,49.7,-0.24,-0.48%,12.0,743.8K,+13.13%,UNM,http://money.cnn.com/quote/quote.html?symb=UNM
UPS,111.44,0.52,+0.47%,27.3,2.1M,-2.79%,UPS,http://money.cnn.com/quote/quote.html?symb=UPS
Valero Energy,66.15,-0.05,-0.08%,16.3,2.3M,-3.18%,VLO,http://money.cnn.com/quote/quote.html?symb=VLO
Varian Medical Systems Inc,97.74,1.09,+1.13%,27.6,812.2K,+22.94%,VAR,http://money.cnn.com/quote/quote.html?symb=VAR
Ventas Inc,64.95,0.15,+0.23%,33.3,1.2M,+3.89%,VTR,http://money.cnn.com/quote/quote.html?symb=VTR
Verisign Inc,97.95,0.21,+0.21%,26.7,466.1K,+28.76%,VRSN,http://money.cnn.com/quote/quote.html?symb=VRSN
Verisk Analytics Inc,80.62,0.04,+0.05%,29.4,551.1K,-0.68%,VRSK,http://money.cnn.com/quote/quote.html?symb=VRSK
Verizon,48.06,0.04,+0.08%,12.4,10.4M,-9.97%,VZ,http://money.cnn.com/quote/quote.html?symb=VZ
Vertex Pharmaceuticals Inc,153.78,5.24,+3.53%,149.3,1.6M,+108.74%,VRTX,http://money.cnn.com/quote/quote.html?symb=VRTX
VF Corp,61.58,0.34,+0.56%,22.8,1.5M,+15.43%,VFC,http://money.cnn.com/quote/quote.html?symb=VFC
Viacom,30.66,0.59,+1.96%,8.5,3.7M,-12.65%,VIAB,http://money.cnn.com/quote/quote.html?symb=VIAB
Visa,100.09,0.6,+0.60%,37.2,5.3M,+28.29%,V,http://money.cnn.com/quote/quote.html?symb=V
Vornado Realty Trust,75.73,-0.91,-1.19%,16.5,863.2K,-10.22%,VNO,http://money.cnn.com/quote/quote.html?symb=VNO
Vulcan Materials Co,114.2,-0.51,-0.44%,37.8,1.1M,-8.75%,VMC,http://money.cnn.com/quote/quote.html?symb=VMC
W W Grainger Inc,163.82,0.3,+0.18%,18.8,485.5K,-29.46%,GWW,http://money.cnn.com/quote/quote.html?symb=GWW
Wal-Mart,80.4,-0.26,-0.32%,18.3,7.9M,+16.32%,WMT,http://money.cnn.com/quote/quote.html?symb=WMT
Walgreen,80.72,0.97,+1.22%,20.4,4.0M,-2.46%,WBA,http://money.cnn.com/quote/quote.html?symb=WBA
Waste Management Inc,74.61,-0.2,-0.27%,25.6,958.4K,+5.22%,WM,http://money.cnn.com/quote/quote.html?symb=WM
Waters Corp,177.03,1.37,+0.78%,26.7,414.7K,+31.73%,WAT,http://money.cnn.com/quote/quote.html?symb=WAT
WEC Energy Group Inc,63.84,-0.82,-1.27%,20.9,1.8M,+8.85%,WEC,http://money.cnn.com/quote/quote.html?symb=WEC
WellPoint,189.43,-0.29,-0.15%,17.9,1.2M,+31.76%,ANTM,http://money.cnn.com/quote/quote.html?symb=ANTM
Wells Fargo,51.94,-0.01,-0.02%,12.8,14.7M,-5.75%,WFC,http://money.cnn.com/quote/quote.html?symb=WFC
Welltower Inc,70.4,-0.2,-0.28%,21.9,1.3M,+5.18%,HCN,http://money.cnn.com/quote/quote.html?symb=HCN
Western Digital Corp,79.9,0.71,+0.90%,NM,3.4M,+17.59%,WDC,http://money.cnn.com/quote/quote.html?symb=WDC
Western Union Co,18.9,-0.01,-0.05%,46.1,3.2M,-12.98%,WU,http://money.cnn.com/quote/quote.html?symb=WU
WestRock Co,55.61,0.38,+0.69%,57.3,889.5K,+9.53%,WRK,http://money.cnn.com/quote/quote.html?symb=WRK
Weyerhaeuser Co,32.22,0.1,+0.31%,59.7,2.0M,+7.08%,WY,http://money.cnn.com/quote/quote.html?symb=WY
Whirlpool Corp,171.24,-0.5,-0.29%,17.2,611.0K,-5.79%,WHR,http://money.cnn.com/quote/quote.html?symb=WHR
Whole Foods Market Inc,41.75,-0.08,-0.19%,34.2,9.5M,+35.73%,WFM,http://money.cnn.com/quote/quote.html?symb=WFM
Williams Companies,30.08,0.03,+0.10%,49.3,2.4M,-3.40%,WMB,http://money.cnn.com/quote/quote.html?symb=WMB
Willis Towers Watson PLC,149.14,1.17,+0.79%,42.1,584.9K,+21.97%,WLTW,http://money.cnn.com/quote/quote.html?symb=WLTW
Wyndham Worldwide Corp,97.33,-0.27,-0.28%,18.1,1.1M,+27.45%,WYN,http://money.cnn.com/quote/quote.html?symb=WYN
Wynn Resorts,125.63,-0.39,-0.31%,47.1,1.2M,+45.22%,WYNN,http://money.cnn.com/quote/quote.html?symb=WYNN
Xcel Energy Inc,48.19,-0.45,-0.93%,21.2,1.8M,+18.40%,XEL,http://money.cnn.com/quote/quote.html?symb=XEL
Xerox,31.66,0.22,+0.70%,14.8,1.7M,+37.65%,XRX,http://money.cnn.com/quote/quote.html?symb=XRX
Xilinx Inc,62.42,0.65,+1.05%,26.7,2.0M,+3.40%,XLNX,http://money.cnn.com/quote/quote.html?symb=XLNX
XL Group Ltd,44.41,-0.09,-0.20%,14.7,951.6K,+19.19%,XL,http://money.cnn.com/quote/quote.html?symb=XL
Xylem Inc,59.12,0.14,+0.24%,38.1,506.1K,+19.39%,XYL,http://money.cnn.com/quote/quote.html?symb=XYL
Yum! Brands,75.56,0.2,+0.27%,27.9,2.2M,+19.31%,YUM,http://money.cnn.com/quote/quote.html?symb=YUM
Zimmer Biomet Holdings Inc,111.7,1.57,+1.43%,45.8,1.5M,+8.24%,ZBH,http://money.cnn.com/quote/quote.html?symb=ZBH
Zions Bancorp,44.11,-0.33,-0.74%,19.9,1.9M,+2.49%,ZION,http://money.cnn.com/quote/quote.html?symb=ZION
Zoetis Inc,59.73,-0.01,-0.02%,34.7,2.3M,+11.58%,ZTS,http://money.cnn.com/quote/quote.html?symb=ZTS
ANSYS Inc,122.95,0.24,+0.20%,39.5,324.1K,+32.93%,ANSS,http://money.cnn.com/quote/quote.html?symb=ANSS
Aon PLC,138.39,-0.46,-0.33%,36.1,708.8K,+24.08%,AON,http://money.cnn.com/quote/quote.html?symb=AON
Apache Corp,42.39,-0.22,-0.52%,706.5,2.5M,-33.21%,APA,http://money.cnn.com/quote/quote.html?symb=APA
Apartment Investment and Management Co,45.55,-0.19,-0.42%,252.1,667.7K,+0.22%,AIV,http://money.cnn.com/quote/quote.html?symb=AIV
Apple,157.48,2.16,+1.39%,17.8,26.3M,+35.97%,AAPL,http://money.cnn.com/quote/quote.html?symb=AAPL
Applied Materials Inc,43.08,1.05,+2.50%,17.9,10.8M,+33.50%,AMAT,http://money.cnn.com/quote/quote.html?symb=AMAT
Archer Daniels Midland Co,41.26,-0.86,-2.04%,17.5,3.8M,-9.62%,ADM,http://money.cnn.com/quote/quote.html?symb=ADM
Arthur J Gallagher & Co,58.42,-0.19,-0.32%,23.6,546.2K,+12.43%,AJG,http://money.cnn.com/quote/quote.html?symb=AJG
Assurant Inc,102.54,-0.45,-0.44%,13.2,168.6K,+10.42%,AIZ,http://money.cnn.com/quote/quote.html?symb=AIZ
AT&T,38.1,-0.09,-0.24%,18.0,13.3M,-10.42%,T,http://money.cnn.com/quote/quote.html?symb=T
Autodesk Inc,108.01,3.03,+2.89%,NM,1.5M,+45.94%,ADSK,http://money.cnn.com/quote/quote.html?symb=ADSK
Automatic Data Processing Inc,108.81,-0.09,-0.08%,28.3,4.6M,+5.87%,ADP,http://money.cnn.com/quote/quote.html?symb=ADP
Autozone Inc,533.94,8.42,+1.60%,12.4,373.2K,-32.39%,AZO,http://money.cnn.com/quote/quote.html?symb=AZO
AvalonBay Communities,188.51,-0.54,-0.29%,26.0,397.8K,+6.41%,AVB,http://money.cnn.com/quote/quote.html?symb=AVB
Avery Dennison Corp,93.02,1.09,+1.19%,21.8,503.0K,+32.47%,AVY,http://money.cnn.com/quote/quote.html?symb=AVY
Baker Hughes A GE Co,34.29,-0.41,-1.18%,NM,1.2M,-24.23%,BHGE,http://money.cnn.com/quote/quote.html?symb=BHGE
Ball Corp,40.16,0.11,+0.27%,27.6,1.7M,+6.99%,BLL,http://money.cnn.com/quote/quote.html?symb=BLL
Bank of America,23.86,-0.26,-1.08%,14.1,68.2M,+7.96%,BAC,http://money.cnn.com/quote/quote.html?symb=BAC
Bank of New York,52.19,0.24,+0.46%,15.5,5.9M,+10.15%,BK,http://money.cnn.com/quote/quote.html?symb=BK
Baxter International Inc,59.84,0.13,+0.22%,36.3,2.2M,+34.96%,BAX,http://money.cnn.com/quote/quote.html?symb=BAX
BB&T Corp,46.31,-0.37,-0.79%,17.3,4.6M,-1.51%,BBT,http://money.cnn.com/quote/quote.html?symb=BBT
Becton Dickinson and Co,200.36,2.14,+1.08%,58.2,1.3M,+21.03%,BDX,http://money.cnn.com/quote/quote.html?symb=BDX
Berkshire Hathaway,175.34,-1.02,-0.58%,19.8,2.6M,+7.58%,BRK.B,http://money.cnn.com/quote/quote.html?symb=BRK.B
Best Buy Co Inc,60.07,0.29,+0.49%,16.5,2.2M,+40.78%,BBY,http://money.cnn.com/quote/quote.html?symb=BBY
Biogen,283.68,2.53,+0.90%,18.6,727.2K,+8.60%,BIIB,http://money.cnn.com/quote/quote.html?symb=BIIB
BlackRock,424.16,1.47,+0.35%,20.8,807.1K,+11.46%,BLK,http://money.cnn.com/quote/quote.html?symb=BLK
Boeing,234.88,2.0,+0.86%,20.7,3.5M,+50.87%,BA,http://money.cnn.com/quote/quote.html?symb=BA
BorgWarner Inc,44.66,-0.24,-0.53%,48.0,1.4M,+13.24%,BWA,http://money.cnn.com/quote/quote.html?symb=BWA
Boston Properties,120.05,-1.22,-1.01%,45.7,564.8K,-4.56%,BXP,http://money.cnn.com/quote/quote.html?symb=BXP
Boston Scientific Corp,26.41,0.15,+0.57%,46.9,3.3M,+22.10%,BSX,http://money.cnn.com/quote/quote.html?symb=BSX
Brighthouse Financial Inc,57.97,-0.53,-0.91%,NM,1.8M,--,BHF,http://money.cnn.com/quote/quote.html?symb=BHF
Bristol-Myers Squibb,56.73,0.14,+0.25%,20.7,4.1M,-2.93%,BMY,http://money.cnn.com/quote/quote.html?symb=BMY
Broadcom Ltd,244.17,3.46,+1.44%,--,1.7M,+38.13%,AVGO,http://money.cnn.com/quote/quote.html?symb=AVGO
Brown-Forman Corp,48.44,0.4,+0.83%,28.3,750.0K,+7.84%,BFB,http://money.cnn.com/quote/quote.html?symb=BFB
C R Bard Inc,319.75,0.62,+0.19%,42.0,330.2K,+42.33%,BCR,http://money.cnn.com/quote/quote.html?symb=BCR
C.H. Robinson Worldwide Inc,65.63,-0.48,-0.73%,19.2,1.3M,-10.41%,CHRW,http://money.cnn.com/quote/quote.html?symb=CHRW
CA Inc,31.99,-0.06,-0.19%,17.8,2.4M,+0.69%,CA,http://money.cnn.com/quote/quote.html?symb=CA
Cabot Oil & Gas Corp,24.61,0.03,+0.12%,NM,3.6M,+5.35%,COG,http://money.cnn.com/quote/quote.html?symb=COG
Campbell Soup Co,53.61,0.36,+0.68%,33.7,1.5M,-11.34%,CPB,http://money.cnn.com/quote/quote.html?symb=CPB
Capital One Financial,82.8,-0.26,-0.31%,12.0,2.0M,-5.09%,COF,http://money.cnn.com/quote/quote.html?symb=COF
Cardinal Health Inc,66.98,-0.33,-0.49%,16.0,1.8M,-6.93%,CAH,http://money.cnn.com/quote/quote.html?symb=CAH
Carmax Inc,64.42,0.49,+0.77%,18.5,944.4K,+0.05%,KMX,http://money.cnn.com/quote/quote.html?symb=KMX
Carnival Corp,67.48,0.1,+0.15%,18.0,3.3M,+29.62%,CCL,http://money.cnn.com/quote/quote.html?symb=CCL
Caterpillar,112.85,-0.3,-0.27%,705.3,2.1M,+21.68%,CAT,http://money.cnn.com/quote/quote.html?symb=CAT
CBOE Holdings Inc,96.23,-0.44,-0.46%,51.7,540.0K,+30.23%,CBOE,http://money.cnn.com/quote/quote.html?symb=CBOE
CBRE Group Inc,35.77,0.12,+0.34%,19.5,1.5M,+13.59%,CBG,http://money.cnn.com/quote/quote.html?symb=CBG
CBS,66.71,0.52,+0.79%,17.8,2.8M,+4.86%,CBS,http://money.cnn.com/quote/quote.html?symb=CBS
Celgene,130.61,0.24,+0.18%,40.6,2.7M,+12.84%,CELG,http://money.cnn.com/quote/quote.html?symb=CELG
Centene Corp,82.14,0.73,+0.90%,17.8,767.7K,+45.35%,CNC,http://money.cnn.com/quote/quote.html?symb=CNC
CenterPoint Energy Inc,28.82,-0.31,-1.06%,20.6,2.0M,+16.96%,CNP,http://money.cnn.com/quote/quote.html?symb=CNP
CenturyLink,21.66,-0.02,-0.09%,31.4,6.8M,-8.92%,CTL,http://money.cnn.com/quote/quote.html?symb=CTL
Cerner Corp,62.11,0.51,+0.83%,31.4,1.2M,+31.12%,CERN,http://money.cnn.com/quote/quote.html?symb=CERN
CF Industries Holdings Inc,30.51,-0.25,-0.81%,NM,3.9M,-3.08%,CF,http://money.cnn.com/quote/quote.html?symb=CF
Charles Schwab,40.65,0.04,+0.10%,27.3,4.9M,+2.99%,SCHW,http://money.cnn.com/quote/quote.html?symb=SCHW
Charter Communications Inc,394.49,-4.19,-1.05%,NM,2.4M,+37.01%,CHTR,http://money.cnn.com/quote/quote.html?symb=CHTR
Chesapeake Energy,4.14,0.0,0.00%,NM,32.3M,-41.03%,CHK,http://money.cnn.com/quote/quote.html?symb=CHK
Chevron,109.23,-0.88,-0.80%,35.5,3.4M,-7.20%,CVX,http://money.cnn.com/quote/quote.html?symb=CVX
Chipotle,326.41,3.76,+1.17%,69.2,968.2K,-13.49%,CMG,http://money.cnn.com/quote/quote.html?symb=CMG
Chubb Ltd,146.44,-1.89,-1.27%,16.9,2.1M,+10.84%,CB,http://money.cnn.com/quote/quote.html?symb=CB
Church & Dwight Co Inc,49.62,0.04,+0.08%,29.4,1.3M,+12.29%,CHD,http://money.cnn.com/quote/quote.html?symb=CHD
Cigna Corp,174.38,-0.98,-0.56%,20.1,1.2M,+30.73%,CI,http://money.cnn.com/quote/quote.html?symb=CI
Cimarex Energy Co,97.52,-0.26,-0.27%,NM,823.0K,-28.24%,XEC,http://money.cnn.com/quote/quote.html?symb=XEC
Cincinnati Financial Corp,79.0,-0.62,-0.78%,22.6,359.7K,+4.29%,CINF,http://money.cnn.com/quote/quote.html?symb=CINF
Cintas Corp,130.33,-0.48,-0.37%,31.3,474.6K,+12.78%,CTAS,http://money.cnn.com/quote/quote.html?symb=CTAS
Cisco,31.47,0.47,+1.52%,16.0,20.8M,+4.14%,CSCO,http://money.cnn.com/quote/quote.html?symb=CSCO
Citigroup,66.8,-0.42,-0.62%,13.3,15.2M,+12.40%,C,http://money.cnn.com/quote/quote.html?symb=C
Citizens Financial Group Inc,33.39,-0.32,-0.95%,14.3,4.2M,-6.29%,CFG,http://money.cnn.com/quote/quote.html?symb=CFG
Citrix Systems Inc,74.61,-0.06,-0.08%,21.9,1.3M,+4.91%,CTXS,http://money.cnn.com/quote/quote.html?symb=CTXS
Clorox Co,134.31,0.37,+0.28%,26.5,526.3K,+11.91%,CLX,http://money.cnn.com/quote/quote.html?symb=CLX
CME Group Inc,123.26,-0.93,-0.75%,25.2,650.8K,+6.86%,CME,http://money.cnn.com/quote/quote.html?symb=CME
CMS Energy Corp,47.31,-0.17,-0.36%,23.9,1.2M,+13.67%,CMS,http://money.cnn.com/quote/quote.html?symb=CMS
Coach Inc,47.55,0.46,+0.98%,25.7,2.7M,+35.78%,COH,http://money.cnn.com/quote/quote.html?symb=COH
Coca-Cola,45.59,-0.15,-0.33%,48.0,8.4M,+9.96%,KO,http://money.cnn.com/quote/quote.html?symb=KO
Cognizant Technology Solutions Corp,70.61,0.6,+0.86%,22.6,3.5M,+26.02%,CTSH,http://money.cnn.com/quote/quote.html?symb=CTSH
Colgate-Palmolive,71.26,-0.29,-0.41%,26.5,2.0M,+8.89%,CL,http://money.cnn.com/quote/quote.html?symb=CL
Comcast,41.11,0.38,+0.93%,20.7,16.7M,+19.07%,CMCSA,http://money.cnn.com/quote/quote.html?symb=CMCSA
Comerica Inc,70.21,-0.6,-0.85%,17.6,1.4M,+3.08%,CMA,http://money.cnn.com/quote/quote.html?symb=CMA
Conagra Brands Inc,34.8,0.74,+2.17%,27.8,3.3M,-12.01%,CAG,http://money.cnn.com/quote/quote.html?symb=CAG
Concho Resources Inc,115.41,-0.68,-0.59%,25.8,1.1M,-12.96%,CXO,http://money.cnn.com/quote/quote.html?symb=CXO
ConocoPhillips,44.79,-0.18,-0.40%,NM,4.2M,-10.67%,COP,http://money.cnn.com/quote/quote.html?symb=COP
Consolidated Edison Inc,82.87,-0.77,-0.92%,20.0,1.5M,+12.47%,ED,http://money.cnn.com/quote/quote.html?symb=ED
Constellation Brands Inc,195.65,0.96,+0.49%,24.5,897.8K,+27.62%,STZ,http://money.cnn.com/quote/quote.html?symb=STZ
Cooper Companies Inc,240.92,0.93,+0.39%,36.1,286.2K,+37.72%,COO,http://money.cnn.com/quote/quote.html?symb=COO
Corning,28.98,0.41,+1.44%,13.2,3.7M,+19.41%,GLW,http://money.cnn.com/quote/quote.html?symb=GLW
Costco,156.65,0.01,+0.01%,27.2,1.9M,+1.79%,COST,http://money.cnn.com/quote/quote.html?symb=COST
Coty Inc,19.48,0.02,+0.10%,NM,2.6M,+6.39%,COTY,http://money.cnn.com/quote/quote.html?symb=COTY
Crown Castle International Corp,100.85,0.14,+0.14%,80.0,2.0M,+16.23%,CCI,http://money.cnn.com/quote/quote.html?symb=CCI
CSRA Inc,32.23,-0.12,-0.37%,17.5,1.0M,+1.22%,CSRA,http://money.cnn.com/quote/quote.html?symb=CSRA
CSX Corp,50.27,0.43,+0.86%,26.3,4.8M,+39.91%,CSX,http://money.cnn.com/quote/quote.html?symb=CSX
Cummins Inc,155.65,-0.18,-0.12%,17.6,1.6M,+13.89%,CMI,http://money.cnn.com/quote/quote.html?symb=CMI
