Company,Price,Change,% Change,P/E,Volume,YTDchange,Symbol,url
Lowe's,77.26,0.25,+0.32%,24.2,3.1M,+8.63%,LOW,http://money.cnn.com/quote/quote.html?symb=LOW
LyondellBasell Industries NV,87.19,-0.41,-0.47%,9.7,1.9M,+1.64%,LYB,http://money.cnn.com/quote/quote.html?symb=LYB
M&T Bank,156.6,-2.12,-1.34%,18.3,658.0K,+0.11%,MTB,http://money.cnn.com/quote/quote.html?symb=MTB
Macerich Co,56.72,-1.17,-2.02%,53.0,1.7M,-19.93%,MAC,http://money.cnn.com/quote/quote.html?symb=MAC
Macy's,20.62,-0.05,-0.24%,11.1,12.5M,-42.42%,M,http://money.cnn.com/quote/quote.html?symb=M
Marathon Oil,12.12,0.07,+0.58%,NM,11.7M,-29.98%,MRO,http://money.cnn.com/quote/quote.html?symb=MRO
Marathon Petroleum,52.16,-0.05,-0.10%,31.0,3.3M,+3.59%,MPC,http://money.cnn.com/quote/quote.html?symb=MPC
Marriott,99.4,-0.12,-0.12%,36.4,2.2M,+20.22%,MAR,http://money.cnn.com/quote/quote.html?symb=MAR
Marsh & McLennan Companies Inc,77.02,-0.06,-0.08%,21.3,882.3K,+13.95%,MMC,http://money.cnn.com/quote/quote.html?symb=MMC
Martin Marietta Materials Inc,204.77,-2.02,-0.98%,29.5,523.3K,-7.57%,MLM,http://money.cnn.com/quote/quote.html?symb=MLM
Masco Corp,36.69,0.24,+0.66%,22.6,1.2M,+16.03%,MAS,http://money.cnn.com/quote/quote.html?symb=MAS
MasterCard,128.55,0.88,+0.69%,31.9,2.5M,+24.50%,MA,http://money.cnn.com/quote/quote.html?symb=MA
Mattel Inc,17.51,-0.23,-1.30%,25.0,5.0M,-36.44%,MAT,http://money.cnn.com/quote/quote.html?symb=MAT
McCormick & Company Inc,97.03,1.83,+1.92%,28.0,2.0M,+3.96%,MKC,http://money.cnn.com/quote/quote.html?symb=MKC
McDonald's,157.3,0.68,+0.43%,27.8,2.9M,+29.23%,MCD,http://money.cnn.com/quote/quote.html?symb=MCD
McKesson Corp,149.99,-1.08,-0.71%,6.9,1.6M,+6.79%,MCK,http://money.cnn.com/quote/quote.html?symb=MCK
Medtronic PLC,83.71,0.67,+0.81%,29.0,4.3M,+17.52%,MDT,http://money.cnn.com/quote/quote.html?symb=MDT
Merck,62.38,0.2,+0.32%,39.7,6.1M,+5.96%,MRK,http://money.cnn.com/quote/quote.html?symb=MRK
Metlife,46.81,0.07,+0.15%,430.3,6.4M,-2.53%,MET,http://money.cnn.com/quote/quote.html?symb=MET
Mettler-Toledo International Inc,577.58,6.33,+1.11%,35.6,141.2K,+37.99%,MTD,http://money.cnn.com/quote/quote.html?symb=MTD
MGM Resorts International,30.59,0.08,+0.26%,14.2,5.4M,+6.10%,MGM,http://money.cnn.com/quote/quote.html?symb=MGM
